transition_id	subject	pid	transition_type	boundary_onset_sec	headband_start_sample	headband_stop_sample	psg_start_sample	psg_stop_sample	window_sample_count_difference	boundary_sample_difference	sample_alignment_flag
257	sub-65	81	REM_to_Wake	15030.0	3816960	3878400	3816960	3878400	0	0	pass
258	sub-66	82	REM_to_Wake	14880.0	3778560	3840000	3778560	3840000	0	0	pass
259	sub-66	82	REM_to_Wake	30150.0	7687680	7749120	7687680	7749120	0	0	pass
260	sub-67	32	REM_to_Wake	5700.0	1428480	1489920	1428480	1489920	0	0	pass
261	sub-67	32	REM_to_Wake	9450.0	2388480	2449920	2388480	2449920	0	0	pass
262	sub-67	32	REM_to_Wake	15450.0	3924480	3985920	3924480	3985920	0	0	pass
263	sub-67	32	REM_to_Wake	20490.0	5214720	5276160	5214720	5276160	0	0	pass
264	sub-67	32	REM_to_Wake	24240.0	6174720	6236160	6174720	6236160	0	0	pass
265	sub-67	32	Wake_to_REM	24270.0	6182400	6243840	6182400	6243840	0	0	pass
266	sub-67	32	REM_to_Wake	25140.0	6405120	6466560	6405120	6466560	0	0	pass
267	sub-67	32	Wake_to_REM	25170.0	6412800	6474240	6412800	6474240	0	0	pass
268	sub-68	33	REM_to_Wake	10020.0	2534400	2595840	2534400	2595840	0	0	pass
269	sub-68	33	REM_to_Wake	25710.0	6551040	6612480	6551040	6612480	0	0	pass
270	sub-69	34	REM_to_Wake	23040.0	5867520	5928960	5867520	5928960	0	0	pass
271	sub-70	35	REM_to_Wake	21870.0	5568000	5629440	5568000	5629440	0	0	pass
272	sub-70	35	REM_to_Wake	22110.0	5629440	5690880	5629440	5690880	0	0	pass
273	sub-71	36	REM_to_Wake	22740.0	5790720	5852160	5790720	5852160	0	0	pass
274	sub-71	36	REM_to_Wake	26880.0	6850560	6912000	6850560	6912000	0	0	pass
275	sub-71	36	REM_to_Wake	28830.0	7349760	7411200	7349760	7411200	0	0	pass
276	sub-71	36	Wake_to_REM	28860.0	7357440	7418880	7357440	7418880	0	0	pass
277	sub-72	37	REM_to_Wake	22800.0	5806080	5867520	5806080	5867520	0	0	pass
278	sub-72	37	REM_to_Wake	23400.0	5959680	6021120	5959680	6021120	0	0	pass
279	sub-73	38	REM_to_Wake	5850.0	1466880	1528320	1466880	1528320	0	0	pass
280	sub-74	39	REM_to_Wake	17010.0	4323840	4385280	4323840	4385280	0	0	pass
281	sub-74	39	REM_to_Wake	27630.0	7042560	7104000	7042560	7104000	0	0	pass
282	sub-75	40	REM_to_Wake	24360.0	6205440	6266880	6205440	6266880	0	0	pass
283	sub-75	40	Wake_to_REM	24390.0	6213120	6274560	6213120	6274560	0	0	pass
284	sub-75	40	REM_to_Wake	25590.0	6520320	6581760	6520320	6581760	0	0	pass
285	sub-76	41	REM_to_Wake	28470.0	7257600	7319040	7257600	7319040	0	0	pass
286	sub-76	41	REM_to_Wake	31110.0	7933440	7994880	7933440	7994880	0	0	pass
287	sub-77	42	REM_to_Wake	16830.0	4277760	4339200	4277760	4339200	0	0	pass
288	sub-77	42	Wake_to_REM	16860.0	4285440	4346880	4285440	4346880	0	0	pass
289	sub-77	42	REM_to_Wake	17880.0	4546560	4608000	4546560	4608000	0	0	pass
290	sub-77	42	REM_to_Wake	30090.0	7672320	7733760	7672320	7733760	0	0	pass
