analysis_version	partition	pid	epochs_sf_b	macro_f1_sf_b	five_stage_macro_recall_sf_b	cohen_kappa_sf_b	epochs_sf_c	macro_f1_sf_c	five_stage_macro_recall_sf_c	cohen_kappa_sf_c	epochs_sf_c_minus_sf_b	macro_f1_sf_c_minus_sf_b	five_stage_macro_recall_sf_c_minus_sf_b	cohen_kappa_sf_c_minus_sf_b
v0.1	train	96	2757	0.36369087380429904	0.513271993546866	0.23728823297141333	2745	0.4463461777621814	0.6300507750786098	0.30598559467587494	-12	0.08265530395788234	0.11677878153174381	0.06869736170446161
v0.1	train	98	2509	0.24622787065409443	0.20080290185345834	0.18037725499410195	2489	0.291471077175273	0.24685230191361293	0.2502034728974101	-20	0.04524320652117855	0.046049400060154594	0.06982621790330812
v0.1	train	99	2572	0.35100131875992974	0.5476769987768791	0.16777268091450848	2556	0.34317593987084666	0.3576863694088454	0.14062268984344606	-16	-0.007825378889083079	-0.18999062936803374	-0.027149991071062418
v0.1	train	100	893	0.2752649781634782	0.41408132190390257	0.22646651662899686	889	0.29101125091705865	0.4554256757783417	0.24662663749951663	-4	0.015746272753580426	0.04134435387443913	0.02016012087051977
v0.1	train	101	876	0.3152775407003495	0.5834439570220612	0.19484583914770048	872	0.33168993731388074	0.5965367000579838	0.21189726281487098	-4	0.01641239661353122	0.01309274303592256	0.017051423667170496
v0.1	train	104	975	0.3627700232276164	0.3593270825133204	0.3567319005803248	967	0.4576906819691183	0.49302945373026236	0.4651639413794624	-8	0.09492065874150185	0.13370237121694195	0.1084320407991376
v0.1	train	108	820	0.6063934918546421	0.6873417285005889	0.5788129044937045	812	0.6461686796968701	0.7483921513690905	0.6076463200887983	-8	0.039775187842228	0.0610504228685016	0.02883341559509378
v0.1	validation	2	1070	0.3952943648052501	0.5068152979137691	0.24181766203659927	1066	0.4115473966253861	0.49445239892167764	0.2468089188868886	-4	0.016253031820135988	-0.012362898992091476	0.004991256850289338
v0.1	validation	3	1005	0.3768381926544753	0.6129994745739251	0.33784257377164084	1001	0.4649192742419399	0.7197689065181436	0.41758015954041283	-4	0.08808108158746458	0.1067694319442185	0.07973758576877199
v0.1	validation	4	998	0.433677616477491	0.5960368142233948	0.3970619719218599	994	0.49562211214304436	0.6996860795346918	0.46027795187372955	-4	0.06194449566555338	0.10364926531129692	0.06321597995186967
v0.1	validation	5	935	0.4301474289241468	0.45580206121622063	0.3432058786897496	931	0.4673171081062649	0.5011419305580689	0.3596963098110766	-4	0.03716967918211811	0.04533986934184825	0.016490431121326976
v0.1	validation	15	2008	0.4109198523633374	0.4560530479070829	0.4560972366548305	2000	0.4924551511589155	0.5465640985152138	0.5707480638582625	-8	0.08153529879557814	0.09051105060813092	0.114650827203432
v0.1	validation	17	1083	0.2741624227652514	0.3242666935135377	0.16620437848429948	1079	0.32685669063210343	0.40306613595616686	0.2303196736553147	-4	0.05269426786685205	0.07879944244262915	0.06411529517101522
v0.1	validation	37	966	0.4127814970293867	0.41258678435531826	0.530844666906073	962	0.4468538057344027	0.45522747811058795	0.5836545875096376	-4	0.034072308705015986	0.04264069375526969	0.0528099206035646
v0.1	validation	40	863	0.14142378168383113	0.28360466827858133	0.05825546686444849	859	0.15273927317614713	0.3688006438006438	0.07614201549154198	-4	0.011315491492316004	0.08519597552206248	0.01788654862709349
v0.1	validation	44	1034	0.32086585256396427	0.5316949367892765	0.38764828750770286	1030	0.3363214286601196	0.5440471857591873	0.40657212282345767	-4	0.015455576096155332	0.012352248969910828	0.01892383531575481
v0.1	validation	48	888	0.37812015558055034	0.6197779394723367	0.3084165477888732	884	0.4595665394321262	0.8030748363967307	0.38311606278086263	-4	0.08144638385157588	0.183296896924394	0.07469951499198946
v0.1	validation	55	897	0.3250671564641536	0.40577539040237093	0.2947754067887245	893	0.3624686736151775	0.47265512265512266	0.3513000894320565	-4	0.03740151715102391	0.06687973225275173	0.05652468264333199
v0.1	validation	64	1085	0.3497272784245118	0.4555635909144984	0.2554500379421364	1081	0.4070817849961646	0.5323843661501633	0.35466674750744187	-4	0.05735450657165281	0.07682077523566488	0.09921670956530548
v0.1	validation	73	965	0.4316986133821657	0.5749565258611488	0.3546037796699332	953	0.45592817114142603	0.6281418659803487	0.36018410884002283	-12	0.024229557759260334	0.05318534011919995	0.0055803291700896596
v0.1	validation	89	1827	0.32427510338421595	0.3697007128441592	0.23676343018066148	1815	0.40541560756182315	0.4594412865922678	0.28265749861170364	-12	0.08114050417760721	0.08974057374810862	0.045894068431042156
v0.1	validation	97	2789	0.4129113137596076	0.4588681230734394	0.5319399881529405	2777	0.48444398855975146	0.5408908950240585	0.6133917759940006	-12	0.07153267480014386	0.08202277195061913	0.08145178784106011
v0.1	validation	106	871	0.5248539550459514	0.5717121477892271	0.5078669779858489	867	0.6272153896339314	0.6944849746887947	0.6248408247031818	-4	0.10236143458797997	0.12277282689956759	0.11697384671733291
